full_asset_id,asset_nm,ct_cl,genre
cjc|M5021932LSVK45551901,목계영괘수 30회,TV드라마,외화 시리즈
cjc|M4939671LFOG86071401,부세쌍교전 01회,TV드라마,외화 시리즈
cjc|M4574224LSVJ19490901,치아문단순적소미호 02회.,TV드라마,외화 시리즈
cjc|M4963238LSVL00916401,일부소심렴도애 17회,TV드라마,외화 시리즈
cjc|M4590256LSGJ70804801,식샤를합시다 시즌2 04회,TV드라마,드라마
cjc|M5058598LFOJ78608101,전원일기 139회,TV드라마,드라마
cjc|M4735796LFOJ87941401,평일 오후 세시의 연인 프리뷰 02회,TV드라마,드라마
cjc|M4131341LSGJ67549801,애인 있어요 42회,TV드라마,드라마
cjc|M4474423LSGK10330301,폭풍속으로 05회,TV드라마,드라마
cjc|M4949247LSVJ81319601,아취시저반여자: 그런 여자 또 없습니다 15회.,TV드라마,외화 시리즈
cjc|M4659198LSGH46848901,나쁜 형사 16회,TV드라마,드라마
cjc|M5037131LSVJ40331101,천왕조리 : 슈퍼스타 과외하기 17회.,TV드라마,외화 시리즈
cjc|M4979314LSVI83793801,표착자 09회.,TV드라마,외화 시리즈
cjc|M4654178LSGH47294201,붉은 달 푸른 해 09회,TV드라마,드라마
cjc|M4874518LSGK58672701,내손을잡아 104회,TV드라마,드라마
cjc|M4722819LSVJ96331201,의천도룡기 2019 06회.,TV드라마,외화 시리즈
cjc|M0453395LSGJ97312601,제국의 아침 68회,TV드라마,드라마
cjc|M4675032LSGJ35852101,용왕님 보우하사 086회,TV드라마,드라마
cjc|M5009531LSVK73031701,팬 암 1 14회.,TV드라마,외화 시리즈
cjc|M0385425LSGJ32867001,제1공화국 33회,TV드라마,미니시리즈
cjc|M4864254LSVF10374301,무심법사 3  01회.,TV드라마,외화 시리즈
cjc|M4349606LSVE76077401,아가사 크리스티: 명탐정 포와로 9 06회.,TV드라마,외화 시리즈
cjc|M4697943LSVF67953501,신조협려 2006 05회.,TV드라마,외화 시리즈
cjc|M4668462LSGJ22956001,왼손잡이 아내 082회,TV드라마,드라마
cjc|M4978558LSGK37590001,갯마을 차차차 01회,TV드라마,드라마
cjc|M5091308LSVK59935501,백사후전 07회.,TV드라마,외화 시리즈
cjc|M4773613LSGH50098901,맛 좀 보실래요 013회,TV드라마,드라마
